Id;Name;Latitude;Longitude;Country_ISO;Population
3840300;Presidencia Roque Sáenz Peña;-26.78522;-60.43876;AR;81879
3840860;Pocito;-31.68333;-68.58333;AR;40969
3840885;Plottier;-38.96667;-68.23333;AR;25186
3841490;Pergamino;-33.88995;-60.57357;AR;87652
3841500;Pérez;-32.99835;-60.76791;AR;24436
3841956;Paraná;-31.73271;-60.52897;AR;262295
3842190;Palpalá;-24.25647;-65.21163;AR;48199
3842670;Olavarría;-36.89272;-60.32254;AR;86320
3842881;Nueve de Julio;-35.44437;-60.88313;AR;34718
3843123;Neuquén;-38.95161;-68.0591;AR;242092
3843619;Morteros;-30.71164;-61.99862;AR;15129
3843803;Monteros;-27.16741;-65.49832;AR;23771
3844421;Mendoza;-32.89084;-68.82717;AR;876884
3844899;Marcos Juárez;-32.6978;-62.10672;AR;24226
3845330;Machagai;-26.92614;-60.04955;AR;28070
3846864;Lincoln;-34.86649;-61.5302;AR;41808
3846915;Libertador General San Martín;-23.80644;-64.78757;AR;49267
3848687;Las Breñas;-27.08966;-61.08161;AR;26955
3848950;La Rioja;-29.41105;-66.85067;AR;162620
3851331;La Falda;-31.08841;-64.48987;AR;15112
3852374;La Calera;-31.34377;-64.33529;AR;24796
3852468;Laboulaye;-34.12662;-63.39119;AR;19908
3853354;Junín;-34.58382;-60.94332;AR;85007
3853491;Joaquín V. González;-25.11364;-64.12628;AR;19185
3853510;Jesús María;-30.98153;-64.09424;AR;26825
3854895;Granadero Baigorria;-32.85683;-60.71754;AR;32427
3854985;Gobernador Gálvez;-33.03016;-60.64045;AR;74650
3855041;General Villegas;-35.03285;-63.01252;AR;16270
3855065;General Roca;-39.03333;-67.58333;AR;73212
3855074;General Pinedo;-27.31667;-61.28333;AR;15741
3855075;General Pico;-35.65662;-63.75682;AR;57029
3855116;General Enrique Mosconi;-22.59588;-63.81255;AR;19811
3855244;Gálvez;-32.02927;-61.22103;AR;18374
3855554;Firmat;-33.45937;-61.4832;AR;18294
3855666;Famaillá;-27.05413;-65.40329;AR;30951
3855974;Esquel;-42.91147;-71.31947;AR;28486
3856022;Esperanza;-31.4488;-60.93173;AR;35885
3856231;Embarcación;-23.21003;-64.09965;AR;23961
3856235;Embalse;-32.18;-64.41809;AR;15900
3858765;El Bolsón;-41.96051;-71.53336;AR;15537
3859384;Diamante;-32.06641;-60.63837;AR;19545
3859512;Deán Funes;-30.42036;-64.34984;AR;20164
3859552;Cutral-Có;-38.93424;-69.23052;AR;47380
3859828;Cruz del Eje;-30.72644;-64.80387;AR;28166
3859904;Crespo;-32.02873;-60.30658;AR;18296
